;0;1001;1015;1016;1020;1030;1031;1034;1035;1041;1045;1050;1053;1056;1061;1062;1063;1064;1065;1067;1068;1070;1074;1076;1082;1084;1088;1089;1091;1102;1115;1123;1126;1133;1151;1164;1165;1174;1176;1177;1179;1186;1187;1190;1193;1204;1210;1213;1231;1236;1255;1273;1313;1315;1350;1371;1372;1497;1689;1708;1865;1868
1123;47.18;74.71;58.14;58.57;31.7;85.94;107.01;138.47;111.13;64.85;105.83;167.47;155.44;124.7;127.69;131.25;115.95;29.33;174.3;110.98;105.91;143.0;63.49;73.27;28.59;115.88;129.81;131.05;62.5;139.32;63.26;0.0;74.52;60.61;72.82;106.85;147.73;27.3;102.61;82.11;128.68;106.48;119.07;10.04;190.09;168.85;91.89;61.31;132.71;95.82;146.97;57.85;121.19;108.6;108.39;80.62;99.85;64.39;42.12;114.74;146.35;153.73
1126;60.16;79.75;118.57;80.49;46.75;90.97;112.04;143.5;116.16;8.22;53.96;172.5;177.36;170.8;149.6;157.65;171.72;100.85;192.71;116.01;110.95;148.03;68.53;12.22;100.11;80.42;134.84;136.08;67.53;117.25;134.78;74.52;0.0;66.32;34.23;112.57;106.58;50.33;108.32;87.82;164.59;49.89;62.48;76.53;213.34;192.1;97.61;34.91;73.67;101.54;152.68;31.17;144.44;82.2;81.99;86.34;153.51;130.75;36.59;88.34;173.62;159.45
1133;23.08;40.3;79.64;41.56;71.53;51.52;72.59;104.05;76.71;61.54;106.13;113.4;138.43;131.87;110.67;118.72;132.79;86.94;153.78;56.91;51.85;88.93;21.68;69.96;86.19;112.56;95.39;96.63;28.08;121.54;95.31;60.61;66.32;0.0;64.89;72.04;139.81;37.59;67.8;47.3;126.13;91.54;120.38;68.45;174.88;153.64;57.08;53.38;114.56;61.01;112.16;49.93;105.98;60.82;60.65;26.83;115.06;122.67;38.73;90.57;135.16;118.92
1151;34.83;48.47;116.87;78.79;59.39;59.69;80.76;112.22;84.88;30.71;36.79;161.61;175.66;169.1;147.9;155.94;170.02;99.15;191.0;114.31;109.24;143.4;66.82;50.06;98.41;92.66;103.56;104.8;47.91;98.16;133.08;72.82;34.23;64.89;0.0;85.01;118.7;48.24;80.76;60.26;162.5;32.45;45.04;74.44;211.25;190.01;70.04;27.41;44.83;73.97;125.12;20.26;142.35;62.26;62.05;84.25;151.43;128.66;34.5;68.4;171.54;131.89
1164;60.06;22.54;147.47;109.39;117.78;31.8;0.85;42.93;15.3;107.78;120.39;92.32;199.13;199.7;178.51;186.55;200.62;133.18;221.61;121.46;116.39;74.1;25.21;116.2;132.44;158.81;27.03;28.27;29.18;135.8;167.11;106.85;112.57;72.04;85.01;0.0;182.39;80.17;1.25;24.27;191.08;99.82;128.66;111.04;239.83;218.59;9.88;64.81;122.83;37.98;55.19;63.82;170.93;45.95;45.78;46.22;180.01;165.26;81.31;98.85;200.12;61.96
1165;133.37;152.96;191.78;153.7;91.63;164.18;185.25;216.71;189.37;101.79;137.98;245.71;250.57;244.01;222.81;230.86;244.93;121.87;265.92;189.22;184.16;221.24;141.74;83.03;106.95;68.97;208.05;209.29;140.74;190.46;175.33;147.73;106.58;139.81;118.7;182.39;0.0;123.33;181.33;160.83;237.59;137.19;134.97;105.77;286.34;265.1;170.61;107.91;132.55;174.54;225.69;104.18;217.44;155.21;154.99;159.34;226.52;203.75;109.6;161.35;246.63;232.46
1174;23.2;50.74;82.43;38.27;38.22;61.96;83.03;114.49;87.15;45.54;86.52;143.49;135.14;149.0;107.38;115.42;129.5;53.62;150.48;87.0;81.94;119.02;39.52;53.96;52.88;96.57;105.83;107.07;38.52;120.01;87.55;27.3;50.33;37.59;48.24;80.17;123.33;0.0;79.09;58.59;122.14;82.96;95.56;34.1;170.89;149.65;68.38;37.8;109.2;72.31;123.45;34.34;101.99;85.08;84.87;57.11;111.07;88.32;21.77;91.22;131.18;130.22
1176;55.81;35.25;143.22;105.14;113.53;27.55;0.58;47.49;16.46;103.54;116.14;96.88;194.89;195.45;174.26;182.3;196.38;128.94;217.36;117.21;112.15;78.66;26.37;111.96;128.19;154.56;38.83;40.07;46.08;131.55;162.86;102.61;108.32;67.8;80.76;1.25;181.33;79.09;0.0;27.04;193.85;102.59;131.43;113.81;242.6;221.36;11.01;67.58;125.6;40.75;59.06;66.59;173.7;48.72;48.55;47.35;182.78;168.03;84.08;101.62;202.89;65.82
1177;35.31;14.75;122.72;84.64;93.03;2.85;27.13;58.59;31.24;83.04;63.83;107.98;174.39;174.95;153.76;161.8;175.88;108.44;196.86;96.71;91.65;89.76;41.09;91.46;107.69;134.06;49.93;51.17;25.58;68.96;142.36;82.11;87.82;47.3;60.26;24.27;160.83;58.59;27.04;0.0;172.4;81.13;68.06;92.35;221.15;199.91;16.36;46.12;72.58;16.39;71.44;45.13;152.25;24.35;24.19;71.06;161.33;146.57;62.63;80.16;181.43;78.2
1179;144.43;161.64;98.69;86.32;157.09;172.87;193.94;225.4;198.06;159.8;200.78;191.43;81.82;10.46;15.47;13.57;12.21;110.58;64.68;102.87;97.82;192.17;150.42;168.22;136.07;210.82;216.74;217.98;149.43;234.27;83.38;128.68;164.59;126.13;162.5;191.08;237.59;122.14;193.85;172.4;0.0;196.91;209.51;127.39;84.53;63.63;178.9;151.75;223.15;182.83;233.98;148.29;43.41;199.03;198.82;155.31;13.7;72.5;137.28;205.17;35.17;240.74
1186;56.74;70.38;150.52;112.44;93.05;60.78;102.67;134.14;106.79;46.37;5.4;183.52;209.31;202.75;181.56;189.6;203.68;132.8;224.66;140.96;135.89;165.31;85.33;83.71;132.06;110.05;125.48;126.72;69.83;39.42;166.73;106.48;49.89;91.54;32.45;99.82;137.19;82.96;102.59;81.13;196.91;0.0;13.84;108.21;245.02;223.78;91.05;61.18;14.12;60.53;146.13;54.03;176.12;36.47;37.36;118.02;185.2;162.43;68.27;23.99;205.31;152.89
1187;85.58;99.22;163.12;125.04;105.64;67.04;131.51;162.98;135.63;58.97;11.93;212.36;221.91;215.34;194.15;202.19;216.27;145.4;237.25;169.8;164.73;194.15;114.17;96.31;144.66;107.82;154.32;155.56;98.67;39.43;179.32;119.07;62.48;120.38;45.04;128.66;134.97;95.56;131.43;68.06;209.51;13.84;0.0;145.41;282.22;260.98;120.04;98.37;12.87;58.35;175.11;83.27;213.32;53.82;54.72;140.75;222.4;199.63;105.47;33.42;242.51;181.88
1190;54.07;81.6;59.46;65.46;24.96;92.82;113.89;145.36;118.01;71.74;112.72;174.35;162.33;126.03;134.57;132.57;117.27;19.41;175.63;117.87;112.8;149.89;70.38;80.16;12.7;53.32;136.7;137.93;69.38;146.21;64.58;10.04;76.53;68.45;74.44;111.04;105.77;34.1;113.81;92.35;127.39;108.21;145.41;0.0;195.23;174.33;99.76;69.18;140.58;103.69;154.84;65.72;129.06;116.47;116.25;88.49;99.37;63.91;49.99;122.61;145.87;161.6
