,Haversine_Distance
631,39.88309213398283
632,40.38777397429673
633,39.44327317874128
634,40.73680608751603
635,36.21824390925801
636,37.82333478537603
637,42.8883444409277
638,35.58713023512805
639,42.93585519434705
640,40.66826141927131
641,41.49549530940783
642,41.69314891061211
643,103.72356380483443
644,89.28248961457089
645,97.73243191692826
646,94.16697548584733
647,112.49471057258445
648,77.81598555493623
649,123.55806391516077
650,98.58235303947737
651,89.39952802921432
652,116.13951866114874
653,116.40033954108381
654,102.40770606479376
655,104.68224297819614
656,107.89939615740768
657,112.29660344243425
658,126.27219472318184
659,126.39356200349488
660,127.38141794765028
661,122.63931224344685
662,106.52730601158335
663,146.28483212705854
664,146.3237013657134
665,55.487816434203985
666,55.17740649922963
667,49.95119449073398
668,45.84353957991468
669,49.61239725887598
670,49.61239725887598
671,55.07160858561028
672,110.00731333203127
673,129.6225763699579
674,110.2669238032832
675,124.46504507368553
676,109.99300036304045
677,127.14942646952593
678,139.14866211938616
679,52.04587170874794
680,70.1590463490602
681,48.21883774101956
682,69.73468213250285
683,48.44949072919388
684,70.90266363133885
685,48.12596726547917
686,48.77155376274356
687,70.97943801486538
688,126.39686042911171
689,149.18266925948097
690,121.46197948276894
691,148.8624529168708
692,108.865255358508
693,127.45253091379804
694,129.9629744774748
695,86.95039245085735
696,86.95039245085735
697,86.95039245085735
698,107.31773049159862
699,74.69022156898411
700,72.76319685132033
701,72.77356121082504
702,79.67967401602651
703,67.43651063059856
704,72.26439779754718
705,68.12972524683684
706,68.12972524683684
707,75.37501062031917
708,65.8069350156074
709,76.1195013823201
710,48.8097809393506
711,47.09658763248041
712,64.0271179598725
713,65.53814307294023
714,66.89621795365053
715,85.75335319032067
716,77.81598555493623
717,84.80595495243489
718,82.93225191627872
719,38.05370664902886
720,19.414759132492883
721,38.85192096690339
722,33.80390319142327
723,93.80233835386801
724,91.26108706070643
725,93.80233835386801
726,85.68001248307253
727,73.75096420853768
728,95.55121621562104
729,35.70775665703366
730,102.41895973058209
731,98.3299470595236
732,106.01906286160428
733,104.87386366316656
734,102.99708058287274
735,98.59993764531397
736,105.10930583499352
737,101.65627700729945
738,60.05239628959966
739,104.68224297819614
740,33.23056668958048
741,42.327549766538915
742,28.875836778303476
743,20.39559326624855
744,16.88618029764552
745,17.073652146121844
746,76.1195013823201
747,75.77653700376051
748,65.10361022560325
749,90.70117096280693
750,64.0271179598725
751,54.615354796884866
752,60.26821140987494
753,66.20084371545406
754,71.18627250956409
755,80.63724792380357
756,49.206019398289655
757,49.177530630439236
758,66.02560937987312
759,58.13353162016262
760,80.56572409088504
761,79.67967401602651
762,89.28248961457089
763,112.49471057258445
764,77.81598555493623
765,116.13951866114874
766,43.906917384394866
767,19.414759132492883
768,33.145057276188105
769,36.6099465479182
770,36.19277722642343
771,29.002618612951512
772,84.80595495243489
773,97.48747440156599
774,80.92790070094198
775,82.93225191627872
776,102.40770606479376
777,83.63817439219505
778,104.68224297819614
779,80.14040638490725
780,95.04091851095333
781,84.80595495243489
782,39.16747498554808
783,36.21824390925801
784,36.21824390925801
785,37.82333478537603
786,42.212779362188314
787,127.14942646952593
788,129.6225763699579
789,127.14942646952593
790,130.26417865298305
791,70.1590463490602
792,48.44949072919388
793,48.77155376274356
794,70.90266363133885
795,70.97943801486538
796,86.95978877717648
797,89.87897765564342
798,93.829499511425
799,100.58746818353828
800,71.848411229437
801,33.733813579626165
802,39.6610076095445
803,37.71375190992982
804,35.70775665703366
805,39.810374732595214
806,110.2669238032832
807,106.60580603889778
808,109.99300036304045
809,55.487816434203985
