from;to;distance;time
1035;1177;31.24;34.41133333333333
1035;1179;198.06;221.0405
1035;1186;106.79;136.18533333333332
1035;1187;135.63;159.13966666666664
1035;1190;118.01;132.87533333333334
1035;1193;246.81;262.5113333333333
1035;1204;225.57;252.54883333333333
1035;1210;29.39;39.11683333333334
1035;1213;71.78;95.589
1035;1236;44.96;54.298
1035;1255;47.15;58.24083333333333
1035;1313;177.91;196.739
1035;1350;52.76;64.196
1035;1371;96.72;113.81266666666667
1035;1372;186.99;210.584
1041;0;56.59;72.804
1041;1001;76.17;91.55850000000001
1041;1015;115.0;126.64899999999999
1041;1016;76.92;86.49983333333333
1041;1020;43.18;65.63783333333333
1041;1030;87.4;104.16766666666668
1041;1031;108.47;130.01233333333332
1041;1034;139.93;160.63549999999998
1041;1035;112.59;127.33016666666667
1041;1041;0.0;0.0
1041;1045;50.67;78.38866666666667
1041;1050;169.0;199.19916666666668
1041;1053;173.26;188.45033333333333
1041;1056;166.4;183.51133333333334
1041;1061;145.1;151.21833333333333
1041;1062;153.14;161.28883333333334
1041;1063;166.64;182.09783333333334
1041;1064;91.53;105.83433333333333
1041;1065;188.2;206.21933333333334
1041;1067;111.62;130.5965
1041;1068;106.61;121.86149999999999
1041;1070;143.57;175.08133333333333
1041;1074;64.08;81.25433333333334
1041;1076;16.78;26.465833333333332
1041;1082;90.32;102.21849999999999
1041;1084;76.08;86.634
1041;1088;126.89;146.86083333333332
1041;1089;128.16;148.70649999999998
1041;1091;63.22;79.49766666666666
1041;1102;113.99;135.27166666666668
1041;1115;126.12;135.55516666666668
1041;1123;64.85;73.10233333333333
1041;1126;8.22;12.869166666666667
1041;1133;61.54;75.99966666666666
1041;1151;30.71;42.026833333333336
1041;1164;107.78;124.9435
1041;1165;101.79;108.29466666666667
1041;1174;45.54;55.212333333333326
1041;1176;103.54;119.48033333333333
1041;1177;83.04;98.28500000000001
1041;1179;159.8;174.46433333333334
1041;1186;46.37;71.05683333333333
1041;1187;58.97;89.30583333333334
1041;1190;71.74;84.19466666666668
1041;1193;208.55;215.93533333333335
1041;1204;187.31;205.97266666666667
1041;1210;92.82;109.77416666666666
1041;1213;30.12;46.5055
1041;1236;96.75;118.17166666666667
1041;1255;147.9;165.95816666666667
1041;1313;139.65;150.16283333333334
1041;1350;77.2;101.05850000000001
1041;1371;81.55;101.369
1041;1372;148.73;164.0078333333333
1045;0;71.24;97.80333333333333
1045;1001;84.88;110.79016666666666
1045;1015;154.82;184.02483333333333
1045;1016;116.74;143.8756666666667
1045;1020;97.34;139.0825
1045;1030;63.04;89.36149999999999
1045;1031;117.17;149.24416666666667
1045;1034;148.63;179.86733333333333
1045;1035;121.29;146.56199999999998
1045;1041;50.67;78.38866666666667
1045;1045;0.0;0.0
1045;1050;197.39;237.69816666666665
1045;1053;214.23;246.52033333333333
1045;1056;207.37;241.58133333333333
1045;1061;186.07;209.28833333333333
1045;1062;194.12;219.359
1045;1063;207.61;240.16783333333333
1045;1064;132.51;163.90433333333334
1045;1065;229.18;264.28933333333333
1045;1067;156.21;190.78266666666664
1045;1068;151.2;182.0476666666667
1045;1070;179.09;215.95566666666667
1045;1074;100.77;131.33966666666666
1045;1076;87.5;116.78883333333333
1045;1082;131.3;160.2885
1045;1084;111.94;143.28183333333334
1045;1088;139.49;168.93216666666666
1045;1089;140.77;170.77783333333335
1045;1091;84.22;110.78833333333334
1045;1102;38.04;54.425666666666665
1045;1115;167.1;193.62533333333334
1045;1123;105.83;131.1725
1045;1126;53.96;81.55933333333334
1045;1133;106.13;136.18583333333333
1045;1151;36.79;58.8285
1045;1164;120.39;147.0148333333333
1045;1165;137.98;166.48983333333334
1045;1174;86.52;113.28233333333333
1045;1176;116.14;141.55166666666668
1045;1177;63.83;91.77733333333335
1045;1179;200.78;232.53433333333334
1045;1186;5.4;14.632833333333334
1045;1187;11.93;19.8445
1045;1190;112.72;142.26466666666664
1045;1193;249.53;274.00533333333334
1045;1204;228.29;264.0428333333333
1045;1210;105.43;131.84566666666666
1045;1213;65.68;97.78633333333333
1045;1236;56.77;81.30816666666666
1045;1255;160.5;188.0295
1045;1313;180.63;208.23283333333333
1045;1350;39.56;57.026833333333336
1045;1371;126.14;161.55516666666665
1045;1372;189.7;222.07783333333333
1050;0;130.54;155.54433333333333
1050;1001;116.5;136.66
1050;1015;126.95;176.08233333333334
1050;1016;158.28;188.46
1050;1020;178.99;213.4445
1050;1030;108.8;131.6865
1050;1031;92.79;127.3815
1050;1034;56.36;76.006
1050;1035;84.03;107.90966666666667
1050;1041;169.0;199.19916666666668
1050;1045;197.39;237.69816666666665
1050;1050;0.0;0.0
1050;1053;95.39;128.44033333333334
1050;1056;181.75;217.001
1050;1061;125.54;169.63883333333334
1050;1062;133.58;179.70933333333332
1050;1063;149.37;197.334
1050;1064;194.15;227.78216666666668
1050;1065;183.17;232.57299999999998
1050;1067;60.52;82.64316666666667
1050;1068;69.56;90.35616666666667
1050;1070;27.65;36.51833333333333
1050;1074;134.24;162.83616666666666
1050;1076;176.24;206.97400000000002
1050;1082;192.93;224.1663333333333
1050;1084;220.0;249.449
1050;1088;64.82;87.3195
1050;1089;62.49;83.66383333333333
1050;1091;131.53;160.32000000000002
1050;1102;212.99;251.86333333333332
1050;1115;141.02;196.9435
1050;1123;167.47;195.05033333333333
1050;1126;172.5;204.147
1050;1133;113.4;138.975
1050;1151;161.61;200.84716666666665
1050;1164;92.32;125.5545
1050;1165;245.71;271.10966666666667
1050;1174;143.49;170.58533333333335
1050;1176;96.88;128.82333333333332
1050;1177;107.98;131.6855
1050;1179;191.43;226.29433333333333
1050;1186;183.52;233.45933333333332
1050;1187;212.36;256.41383333333334
1050;1190;174.35;206.14249999999998
1050;1193;121.84;160.59766666666667
1050;1204;182.28;232.3265
1050;1210;106.12;136.391
1050;1213;148.52;192.863
1050;1236;121.69;151.572
1050;1255;43.72;60.52766666666666
1050;1313;93.53;130.26149999999998
1050;1350;129.49;161.47016666666664
1050;1371;90.6;121.20866666666667
1050;1372;150.47;195.64016666666666
1053;0;149.97;170.27033333333333
1053;1001;167.18;190.597
1053;1015;101.35;114.89783333333334
1053;1016;99.78;112.02483333333333
1053;1020;165.71;186.52550000000002
1053;1030;178.41;203.2061666666667
1053;1031;199.47;229.05083333333332
1053;1034;135.82;182.45083333333332
1053;1035;203.59;226.36866666666668
1053;1041;173.26;188.45033333333333
1053;1045;214.23;246.52033333333333
1053;1050;95.39;128.44033333333334
1053;1053;0.0;0.0
1053;1056;72.15;83.95916666666668
1053;1061;58.31;71.53683333333333
1053;1062;70.64;86.05083333333333
1053;1063;69.7;88.09016666666666
1053;1064;174.22;182.80416666666667
1053;1065;73.56;99.53116666666666
1053;1067;95.75;115.98583333333333
1053;1068;90.74;107.25066666666666
1053;1070;96.14;126.431
1053;1074;155.43;179.73083333333335
1053;1076;181.1;195.10883333333334
1053;1082;200.04;207.75383333333332
1053;1084;224.86;237.58383333333333
1053;1088;137.86;172.47383333333335
1053;1089;137.61;173.75050000000002
1053;1091;154.57;177.9741666666667
1053;1102;248.01;269.99666666666667
1053;1115;101.4;117.95033333333335
1053;1123;155.44;167.65816666666666
1053;1126;177.36;192.28166666666667
1053;1133;138.43;157.12366666666668
1053;1151;175.66;191.31066666666666
1053;1164;199.13;223.42000000000002
1053;1165;250.57;259.2445
1053;1174;135.14;147.13516666666666
1053;1176;194.89;217.95683333333332
1053;1177;174.39;196.7615
1053;1179;81.82;93.2525
1053;1186;209.31;238.77616666666665
1053;1187;221.91;257.0251666666667
1053;1190;162.33;178.75050000000002
1053;1193;33.91;47.87016666666667
1053;1204;72.67;99.28466666666667
1053;1210;184.17;208.25083333333333
1053;1213;164.15;182.431
1053;1236;188.1;216.64816666666667
1053;1255;117.04;154.27083333333334
1053;1313;38.07;45.92383333333333
1053;1350;211.22;235.78366666666668
1053;1371;111.78;138.10316666666668
1053;1372;70.81;86.39616666666667
1056;0;151.03;173.989
1056;1001;168.24;194.31583333333336
1056;1015;96.09;101.33449999999999
1056;1016;92.92;107.086
1056;1020;154.5;164.74633333333335
1056;1030;179.47;206.925
1056;1031;200.54;232.76966666666667
1056;1034;232.0;263.39283333333333
1056;1035;204.66;230.0875
1056;1041;166.4;183.51133333333334
1056;1045;207.37;241.58133333333333
1056;1050;181.75;217.001
1056;1053;72.15;83.95916666666668
1056;1056;0.0;0.0
1056;1061;26.98;37.78416666666667
1056;1062;29.27;38.395833333333336
