from;to;distance;time
1056;1371;161.14;188.79666666666665
1056;1372;29.43;38.741166666666665
1061;0;129.73;141.696
1061;1016;71.62;74.79299999999999
1061;1031;179.24;200.47666666666666
1061;1034;210.7;231.09983333333332
1061;1035;183.36;197.7945
1061;1041;145.1;151.21833333333333
1061;1045;186.07;209.28833333333333
1061;1053;58.31;71.53683333333333
1061;1056;26.98;37.78416666666667
1061;1061;0.0;0.0
1061;1062;10.96;14.541333333333334
1061;1063;19.85;29.503
1061;1065;73.23;89.76133333333334
1061;1067;88.06;117.26416666666667
1061;1068;83.08;109.8195
1061;1070;117.79;159.06083333333333
1061;1076;153.34;159.04733333333334
1061;1082;151.43;161.33183333333332
1061;1084;197.11;201.52233333333334
1061;1088;197.61;215.804
1061;1089;198.88;217.64966666666666
1061;1091;133.94;148.4406666666667
1061;1102;220.25;233.93516666666667
1061;1115;73.64;81.88883333333334
1061;1123;127.69;131.59666666666666
1061;1126;149.6;156.22016666666664
1061;1133;110.67;121.06216666666666
1061;1151;147.9;155.24916666666667
1061;1176;174.26;188.42333333333332
1061;1177;153.76;167.228
1061;1179;15.47;23.032500000000002
1061;1186;181.56;202.71466666666666
1061;1187;194.15;220.96366666666665
1061;1204;72.34;89.51483333333334
1061;1213;136.39;146.3695
1061;1231;207.79;224.61983333333333
1061;1236;167.47;187.11466666666666
1061;1255;218.62;234.90116666666665
1061;1273;132.93;140.62833333333336
1061;1313;37.96;45.3755
1061;1315;183.68;200.50216666666665
1061;1350;183.47;199.72216666666665
1061;1371;139.95;156.8005
1061;1372;16.07;21.128833333333333
1062;0;137.77;151.76666666666668
1062;1016;79.66;84.8635
1062;1031;187.28;210.54716666666667
1062;1034;218.74;241.17033333333333
1062;1035;191.4;207.86499999999998
1062;1041;153.14;161.28883333333334
1062;1045;194.12;219.359
1062;1053;70.64;86.05083333333333
1062;1056;29.27;38.395833333333336
1062;1061;10.96;14.541333333333334
1062;1062;0.0;0.0
1062;1063;10.74;14.616999999999999
1062;1065;69.51;93.73233333333333
