Recipient_ID;Recipient_ID;Shipment_ID;Loading_Date;Weight;Freight_Cost;Sender_Street;Sender_Postal_Code;Sender_City;Recipient_Street;Recipient_Postal_Code;Recipient_City;Recipient_House_No;Calendar_Week;Recipient_Longitude;Recipient_Latitude;Sender_Longitude;Sender_Latitude;Real_Distance;Duration;Euc_Distance;Weekday
1137;1137;18223;2020-08-13;311.674;73.36;Trinidadstraße 44;27356;Rotenburg (Wümme);NORMANNENSTRASSE ;26723;EMDEN;10 ;32;7.192901;53.369056;9.3372;53.124339;175617.0;7034.3;145.238672376875;3
1337;1337;18224;2020-08-13;2237.5;117.71;Trinidadstraße 44;27356;Rotenburg (Wümme);WANKELSTRASSE ;26802;MOORMERLAND;5 ;32;7.466793;53.312456;9.3372;53.124339;152880.4;5954.7;126.27219472318184;3
1287;1287;18225;2020-08-13;276.851;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);LOGAER SIELTIEF ;26789;LEER (OSTFRIESLAND);7 ;32;7.510257;53.239739;9.3372;53.124339;147882.2;5931.4;122.4118564251037;3
1287;1287;18226;2020-08-13;399.952;70.62;Trinidadstraße 44;27356;Rotenburg (Wümme);LOGAER SIELTIEF ;26789;LEER;7 ;32;7.510257;53.239739;9.3372;53.124339;147882.2;5931.4;122.4118564251037;3
1329;1329;18227;2020-08-13;388.287;70.62;Trinidadstraße 44;27356;Rotenburg (Wümme);RUDOLF DIESEL STRASSE ;26670;UPLENGEN;10 ;32;7.755837;53.265312;9.3372;53.124339;129192.9;5172.1;106.50249510475021;3
1269;1269;18228;2020-08-13;919.063;87.96;Trinidadstraße 44;27356;Rotenburg (Wümme);TEUTONENSTRASSE ;26723;EMDEN;4 ;32;7.185647;53.367524;9.3372;53.124339;178697.5;7013.3;145.68355964536354;3
1334;1334;18229;2020-08-13;9023.39;172.61;Trinidadstraße 44;27356;Rotenburg (Wümme);VISBEKER DAMM ;49429;VISBEK;1A ;32;8.301824;52.824642;9.3372;53.124339;87468.5;3870.5;76.91971192010008;3
1397;1397;18232;2020-08-13;136.0;57.15;Trinidadstraße 44;27356;Rotenburg (Wümme);AUGUST WILHELM KÜHNHOLZ STRASSE ;26135;OLDENBURG;39 ;32;8.253594;53.108459;9.3372;53.124339;87546.4;3851.5;72.33890920065701;3
1222;1222;18235;2020-08-13;328.0;53.43;Trinidadstraße 44;27356;Rotenburg (Wümme);EDISONSTRASSE ;28357;BREMEN;21 ;32;8.891634;53.111667;9.3372;53.124339;43696.1;2182.8;29.7685363427645;3
1269;1269;18237;2020-08-14;14352.0;259.05;Trinidadstraße 44;27356;Rotenburg (Wümme);TEUTONENSTRASSE ;26723;EMDEN;4 ;32;7.185647;53.367524;9.3372;53.124339;178697.5;7013.3;145.68355964536354;4
1226;1226;18238;2020-08-14;11566.0;225.48;Trinidadstraße 44;27356;Rotenburg (Wümme);ZEISIGWEG ;49624;LÖNINGEN;2 ;32;7.792475;52.728865;9.3372;53.124339;130267.8;5466.1;112.49471057258445;4
1310;1310;18241;2020-08-14;6261.5;121.04;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;27809;LEMWERDER;9 ;32;8.614094;53.166113;9.3372;53.124339;63502.0;3297.4;48.44949072919388;4
706;706;18242;2020-08-14;550.734;75.76;Trinidadstraße 44;27356;Rotenburg (Wümme);KÖNIGSTRASSE ;26676;BARSSEL;1 ;32;7.813597;53.134596;9.3372;53.124339;123151.6;5595.3;101.65627700729945;4
1137;1137;18244;2020-08-17;416.0;75.98;Trinidadstraße 44;27356;Rotenburg (Wümme);NORMANNENSTRASSE ;26723;EMDEN;10 ;33;7.192901;53.369056;9.3372;53.124339;175617.0;7034.3;145.238672376875;0
1337;1337;18245;2020-08-17;4729.04;149.99;Trinidadstraße 44;27356;Rotenburg (Wümme);WANKELSTRASSE ;26802;MOORMERLAND;5 ;33;7.466793;53.312456;9.3372;53.124339;152880.4;5954.7;126.27219472318184;0
1287;1287;18248;2020-08-17;457.2;73.15;Trinidadstraße 44;27356;Rotenburg (Wümme);LOGAER SIELTIEF ;26789;LEER;7 ;33;7.510257;53.239739;9.3372;53.124339;147882.2;5931.4;122.4118564251037;0
1389;1389;18250;2020-08-17;1080.98;91.08;Trinidadstraße 44;27356;Rotenburg (Wümme);WESTFALENSTRASSE ;26723;EMDEN;2 ;33;7.172945;53.355035;9.3372;53.124339;178752.7;6965.7;146.28483212705854;0
1269;1269;18253;2020-08-17;1368.88;98.63;Trinidadstraße 44;27356;Rotenburg (Wümme);TEUTONENSTRASSE ;26723;EMDEN;4 ;33;7.185647;53.367524;9.3372;53.124339;178697.5;7013.3;145.68355964536354;0
1245;1245;18256;2020-08-17;10147.0;160.43;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;27211;BASSUM;13 ;33;8.742445;52.858623;9.3372;53.124339;65748.7;3249.9;49.57468338389478;0
1334;1334;18257;2020-08-17;4215.09;133.72;Trinidadstraße 44;27356;Rotenburg (Wümme);VISBEKER DAMM ;49429;VISBEK;1A ;33;8.301824;52.824642;9.3372;53.124339;87468.5;3870.5;76.91971192010008;0
1263;1263;18264;2020-08-17;5624.0;146.08;Trinidadstraße 44;27356;Rotenburg (Wümme);HEUWEG ;26389;WILHELMSHAVEN;19 ;33;8.06525;53.525961;9.3372;53.124339;139874.8;5502.1;95.55121621562104;0
1328;1328;18267;2020-08-17;401.0;73.15;Trinidadstraße 44;27356;Rotenburg (Wümme);ILEXSTRASSE ;26639;WIESMOOR;26 ;33;7.750594;53.376891;9.3372;53.124339;137485.2;6001.2;109.22566965008349;0
997;997;18270;2020-08-17;5422.14;146.08;Trinidadstraße 44;27356;Rotenburg (Wümme);AN DER BRÜCKE ;26180;RASTEDE;45 ;33;8.174763;53.242718;9.3372;53.124339;101464.0;4215.1;78.56749418147875;0
1106;1106;18271;2020-08-17;7241.61;175.31;Trinidadstraße 44;27356;Rotenburg (Wümme);HAUPTSTRASSE ;26689;APEN;101 ;33;7.786704;53.21815;9.3372;53.124339;127253.4;5580.7;103.86848268102955;0
1200;1200;18273;2020-08-17;1962.0;109.17;Trinidadstraße 44;27356;Rotenburg (Wümme);NORDLOHER DORFSTRASSE ;26689;APEN;8 ;33;7.789361;53.179567;9.3372;53.124339;130687.5;5785.2;103.39522980374788;0
1226;1226;18276;2020-08-17;216.25;68.54;Trinidadstraße 44;27356;Rotenburg (Wümme);ZEISIGWEG ;49624;LÖNINGEN;2 ;33;7.792475;52.728865;9.3372;53.124339;130267.8;5466.1;112.49471057258445;0
1080;1080;18279;2020-08-17;459.656;73.15;Trinidadstraße 44;27356;Rotenburg (Wümme);VON LIEBIG STRASSE ;49699;LINDERN (OLDENBURG);3 ;33;7.781386;52.835475;9.3372;53.124339;126622.7;5408.7;108.99914648000839;0
1233;1233;18286;2020-08-17;88.195;43.26;Trinidadstraße 44;27356;Rotenburg (Wümme);MÜNCHENER STRASSE ;28215;BREMEN;77 ;33;8.807092;53.094486;9.3372;53.124339;48542.8;2377.8;35.53954965594383;0
