ID_Empf�nger;Shipment_ID;Loading_Date;Weight;Euc_Distance;Weekday;Delay
1273;[21275];2020-09-23;5509.0;16.88607044715543;2;-1.0
1273;[20806, 20903];2020-09-21;10569.0;16.88607044715543;0;0.0
1273;[20791];2020-09-16;624.0;16.88607044715543;2;-1.0
1273;[20474, 20303];2020-09-14;3435.03;16.88607044715543;0;-0.5
1273;[20223];2020-09-09;130.0;16.88607044715543;2;-1.0
1273;[19985, 19855];2020-09-07;823.0;16.88607044715543;0;-0.5
1273;[19738];2020-09-04;3045.0;16.88607044715543;4;0.0
1273;[19695];2020-09-02;1673.66;16.88607044715543;2;-1.0
1273;[19423, 19386];2020-08-31;4094.0;16.88607044715543;0;-0.5
1273;[19177];2020-08-26;2720.0;16.88607044715543;2;-1.0
1273;[18971, 18756];2020-08-24;8608.04;16.88607044715543;0;-0.5
1273;[18656];2020-08-19;44.0;16.88607044715543;2;-1.0
1273;[18451, 18312];2020-08-17;3451.39;16.88607044715543;0;-0.5
1273;[18207];2020-08-12;2036.84;16.88607044715543;2;-1.0
1273;[17999, 17886];2020-08-10;1777.38;16.88607044715543;0;-0.5
1273;[17736];2020-08-05;5959.0;16.88607044715543;2;-1.0
1273;[17475, 17373];2020-08-03;7640.0;16.88607044715543;0;-0.5
1273;[17338];2020-07-31;5913.0;16.88607044715543;4;0.0
1273;[17307];2020-07-29;288.0;16.88607044715543;2;-1.0
1273;[17016, 16856];2020-07-27;12158.65;16.88607044715543;0;-0.5
1273;[16702];2020-07-22;13122.36;16.88607044715543;2;-1.0
1273;[16454, 16305];2020-07-20;11395.32;16.88607044715543;0;-0.5
1273;[16233];2020-07-17;8169.32;16.88607044715543;4;0.0
1273;[16183];2020-07-15;1840.56;16.88607044715543;2;-1.0
1273;[15947, 15949, 15750];2020-07-13;4321.87;16.88607044715543;0;-0.6666666666666666
1273;[15510];2020-07-08;7630.8;16.88607044715543;2;-1.0
1273;[15270, 15185, 15186];2020-07-06;9064.716110906465;16.88607044715543;0;-0.3333333333333333
1273;[15047];2020-07-01;494.0;16.88607044715543;2;-1.0
1273;[14804];2020-06-29;2746.97;16.88607044715543;0;-1.0
1273;[14448];2020-06-24;4277.0;16.88607044715543;2;-1.0
1273;[14253, 14024];2020-06-22;974.0;16.88607044715543;0;-0.5
1273;[13974];2020-06-17;1958.0;16.88607044715543;2;-1.0
1273;[13615, 13544];2020-06-15;12805.16;16.88607044715543;0;-0.5
1273;[13461];2020-06-10;2037.0;16.88607044715543;2;-1.0
1273;[13195, 12939];2020-06-08;3694.94;16.88607044715543;0;-0.5
1273;[12791];2020-06-03;2197.0;16.88607044715543;2;-1.0
1273;[12614];2020-06-01;3118.0;16.88607044715543;0;-1.0
1273;[12471];2020-05-27;18797.08;16.88607044715543;2;-1.0
1273;[12214, 12108];2020-05-25;11977.5;16.88607044715543;0;-0.5
1273;[11775, 11694];2020-05-18;14207.46;16.88607044715543;0;-0.5
1273;[11438];2020-05-13;1519.0;16.88607044715543;2;-1.0
1273;[11327, 11217];2020-05-11;8939.9;16.88607044715543;0;-0.5
1273;[10974];2020-05-06;7967.0;16.88607044715543;2;-1.0
1273;[10761, 10621];2020-05-04;3478.5;16.88607044715543;0;-0.5
1273;[10551];2020-04-29;1617.0;16.88607044715543;2;-1.0
1273;[10304, 10211];2020-04-27;15551.45;16.88607044715543;0;-0.5
1273;[10009];2020-04-22;361.0;16.88607044715543;2;-1.0
1273;[9764, 9623];2020-04-20;1037.0;16.88607044715543;0;-0.5
1273;[9510];2020-04-17;7191.0;16.88607044715543;4;0.0
1273;[9421];2020-04-15;1560.93;16.88607044715543;2;-1.0
1273;[9113];2020-04-13;8422.0;16.88607044715543;0;-1.0
1273;[8974];2020-04-08;4252.0;16.88607044715543;2;-1.0
1273;[8748, 8715];2020-04-06;3167.0;16.88607044715543;0;-0.5
1273;[8509];2020-04-01;2535.81;16.88607044715543;2;-1.0
1273;[8220, 8082];2020-03-30;3841.08;16.88607044715543;0;-0.5
1273;[7783];2020-03-25;3119.0;16.88607044715543;2;-1.0
1273;[7660, 7530];2020-03-23;21551.29;16.88607044715543;0;-0.5
1273;[7399];2020-03-20;2289.0;16.88607044715543;4;0.0
1273;[7267];2020-03-18;2466.29;16.88607044715543;2;-1.0
1273;[6957, 6829];2020-03-16;1043.5;16.88607044715543;0;-0.5
1273;[6692];2020-03-13;466.0;16.88607044715543;4;0.0
1273;[6533, 6394];2020-03-11;6833.0;16.88607044715543;2;-0.5
1273;[6226, 6131];2020-03-09;2701.708;16.88607044715543;0;-0.5
1273;[6013];2020-03-06;71.0;16.88607044715543;4;0.0
1273;[5838];2020-03-04;6715.92;16.88607044715543;2;-1.0
1273;[5639, 5364];2020-03-02;16151.3;16.88607044715543;0;-0.5
1273;[5276];2020-02-28;272.0;16.88607044715543;4;0.0
1273;[5238];2020-02-26;3553.81;16.88607044715543;2;-1.0
1273;[4894, 4742];2020-02-24;6667.57;16.88607044715543;0;-0.5
1273;[4667];2020-02-21;881.0;16.88607044715543;4;0.0
1273;[4594];2020-02-19;11503.57;16.88607044715543;2;-1.0
1273;[4253, 4120];2020-02-17;7827.5;16.88607044715543;0;-0.5
1273;[3999];2020-02-14;4763.0;16.88607044715543;4;0.0
1273;[3880];2020-02-12;354.0;16.88607044715543;2;-1.0
1273;[3513, 3448];2020-02-10;10557.5;16.88607044715543;0;-0.5
1273;[3075];2020-02-05;6974.0;16.88607044715543;2;-1.0
1273;[2816, 2772];2020-02-03;15694.0;16.88607044715543;0;-0.5
1273;[2623];2020-01-31;514.0;16.88607044715543;4;0.0
1273;[2529];2020-01-29;3844.0;16.88607044715543;2;-1.0
1273;[2256, 2000];2020-01-27;7313.0;16.88607044715543;0;-0.5
1273;[1967];2020-01-24;2099.0;16.88607044715543;4;0.0
1273;[1774];2020-01-22;2563.0;16.88607044715543;2;-1.0
1273;[1553, 1401];2020-01-20;3030.0;16.88607044715543;0;-0.5
1273;[1210];2020-01-17;7079.59;16.88607044715543;4;0.0
1273;[838, 744];2020-01-13;3396.788;16.88607044715543;0;-0.5
1273;[573];2020-01-10;1819.77;16.88607044715543;4;0.0
1273;[447];2020-01-08;801.5;16.88607044715543;2;-1.0
1273;[46, 224];2020-01-06;4516.5;16.88607044715543;0;-0.5
1334;[28237];2020-12-21;5278.4;76.91971192010008;0;0.0
1334;[28153];2020-12-18;252.5;76.91971192010008;4;0.0
1334;[28113, 28147];2020-12-17;15595.47;76.91971192010008;3;0.0
1334;[28028, 28039];2020-12-16;14613.6;76.91971192010008;2;0.0
1334;[27859, 27941];2020-12-15;10169.970000000001;76.91971192010008;1;0.0
1334;[27803];2020-12-14;24990.41;76.91971192010008;0;0.0
