ID_Empf�nger;Shipment_ID;Loading_Date;Weight;Euc_Distance;Weekday;Delay
1326;[24550];2020-11-03;203.0;18.810775482701473;1;-2.0
1326;[24023];2020-10-27;445.885;18.810775482701473;1;-2.0
1326;[23579];2020-10-23;560.0;18.810775482701473;4;-3.0
1326;[23411, 23232];2020-10-20;2536.63;18.810775482701473;1;-1.0
1326;[22943];2020-10-16;1617.88;18.810775482701473;4;0.0
1326;[22817, 22616];2020-10-13;2307.06;18.810775482701473;1;-1.0
1326;[22447];2020-10-09;489.1;18.810775482701473;4;-3.0
1326;[22302, 22082];2020-10-06;2315.0;18.810775482701473;1;-1.0
1326;[21304];2020-09-25;1147.48;18.810775482701473;4;-3.0
1326;[21278];2020-09-22;1732.0;18.810775482701473;1;-2.0
1326;[19394];2020-09-01;147.595;18.810775482701473;1;0.0
1326;[19271, 19233];2020-08-28;3605.67;18.810775482701473;4;-1.5
1326;[19210, 18900];2020-08-25;2556.0;18.810775482701473;1;-1.0
1326;[18821];2020-08-21;2254.42;18.810775482701473;4;-3.0
1326;[18329];2020-08-14;236.0;18.810775482701473;4;-3.0
1326;[18141];2020-08-11;1208.0;18.810775482701473;1;-2.0
1326;[17459];2020-07-31;16.831;18.810775482701473;4;-3.0
1326;[17294, 17052];2020-07-28;1839.0;18.810775482701473;1;-1.0
1326;[16832];2020-07-24;3087.28;18.810775482701473;4;-3.0
1326;[16441];2020-07-21;345.405;18.810775482701473;1;0.0
1326;[16374];2020-07-17;890.149;18.810775482701473;4;-3.0
1326;[15873];2020-07-14;1326.0;18.810775482701473;1;0.0
1326;[15371];2020-07-07;1694.0;18.810775482701473;1;0.0
1326;[15144];2020-07-03;421.0;18.810775482701473;4;-3.0
1326;[15084, 14821];2020-06-30;505.79;18.810775482701473;1;-1.0
1326;[14479];2020-06-23;561.6;18.810775482701473;1;-2.0
1326;[14127];2020-06-19;128.0;18.810775482701473;4;-3.0
1326;[14017];2020-06-16;3607.36;18.810775482701473;1;-2.0
1326;[13554];2020-06-12;1450.78;18.810775482701473;4;-3.0
1326;[13364, 13112, 13213];2020-06-09;2977.56;18.810775482701473;1;-0.6666666666666666
