;ID_Empfänger;Frequenz;Nachfrage;Pattern;Pattern_clear
152;1001;1;812;4;[0, 0, 0, 0, 1]
153;1248;1;728;4;[0, 0, 0, 0, 1]
154;1303;2;730;4;[0, 1, 0, 0, 1]
155;777;1;676;4;[0, 0, 0, 0, 1]
156;1289;1;694;4;[0, 0, 0, 0, 1]
157;1249;1;2181;4;[0, 0, 0, 0, 1]
158;958;1;818;4;[0, 0, 0, 0, 1]
159;1036;2;1988;4;[0, 1, 0, 0, 1]
160;1139;1;880;4;[0, 0, 0, 0, 1]
161;1125;2;391;4;[0, 1, 0, 0, 1]
162;885;1;402;4;[0, 0, 0, 0, 1]
163;1260;1;1212;4;[0, 0, 0, 0, 1]
164;1017;1;843;4;[0, 0, 0, 0, 1]
165;1229;1;1229;4;[0, 0, 0, 0, 1]
166;795;1;359;4;[0, 0, 0, 0, 1]
167;959;1;514;4;[0, 0, 0, 0, 1]
168;1201;1;400;4;[0, 0, 0, 0, 1]
169;1138;1;449;4;[0, 0, 0, 0, 1]
170;1301;1;454;4;[0, 0, 0, 0, 1]
171;1149;2;2614;4;[0, 1, 0, 0, 1]
172;882;2;1147;4;[0, 1, 0, 0, 1]
