,Euc_Distance
554,40.44209439664968
555,86.95039245085735
556,82.53215619444538
557,84.70956259094784
558,86.95039245085735
559,51.46036375696112
560,44.56191820138161
561,145.238672376875
562,126.27219472318184
563,122.63931224344685
564,146.5104829547566
565,145.68355964536354
566,55.17740649922963
567,47.09183534205066
568,50.00541657757668
569,50.040955497470684
570,47.37534656398681
571,22.803781392152203
572,38.66457178966993
573,16.88607044715543
574,22.018747679943466
575,28.78362613208983
576,22.863606409492384
577,93.80233835386801
578,91.45887786623689
579,93.80233835386801
580,95.55121621562104
581,130.90626466390225
582,40.832764371325084
583,41.58645993942089
584,51.46036375696112
585,44.56191820138161
586,40.38837522950575
587,32.78208827663411
588,22.803781392152203
589,26.04230922366078
590,22.288481180837675
591,21.30195241669473
592,18.810775482701473
593,30.524211132344842
594,30.524211132344842
595,29.7685363427645
596,104.66769269296829
597,59.3926590448967
598,73.79740885851588
599,93.829499511425
600,101.0081695909236
601,86.95978877717648
602,86.27421764508388
603,80.63724792380357
604,58.0088984792715
605,68.45393251175338
606,71.80966047437968
607,49.57468338389478
608,60.33871920804173
609,59.233087562909766
610,8.728226331154465
611,11.256731115713466
612,16.585795727972137
613,12.1948866640943
614,45.49614288206953
615,11.949941636189628
616,21.331168122114907
617,3.3192439202637636
618,5.440174284345304
619,5.927179660792162
620,21.331168122114907
621,42.098824868061065
622,42.65043832300146
623,41.787021902471785
624,36.83559584580775
625,37.56957504303698
626,33.518663826504266
627,40.04721680587786
628,34.0389990977101
629,41.988496798341245
630,37.60983362278275
631,40.62643970784477
632,40.44209439664968
633,39.22186652936831
634,40.73680608751603
635,35.53954965594383
636,38.13723764046
637,42.88832569966228
638,35.70050992028964
639,42.93585519434705
640,40.38837522950575
641,41.487579054546075
642,40.87715498089698
643,103.51147951544549
644,89.28248961457089
645,98.84662196621112
646,94.16697548584733
647,112.49471057258445
648,76.91971192010008
649,123.55804723693807
650,98.58235303947737
651,89.39952802921432
652,115.7786229785741
653,116.40033954108381
654,102.40770606479376
655,104.68224297819614
656,105.7145935134644
657,112.29666847527598
658,126.27219472318184
659,126.39356200349488
660,127.38141794765028
661,122.63931224344685
662,106.50249510475021
663,146.28483212705854
664,146.5104829547566
665,55.35692139921839
666,55.17740649922963
667,50.00541657757668
668,45.84353957991468
669,50.040955497470684
670,50.040955497470684
671,55.07160858561028
672,110.00731333203127
673,129.66342281065963
674,109.91891519112322
675,124.95415006187366
676,109.99300036304045
677,127.46044532325548
678,139.14866211938616
679,55.17043918567162
680,70.1590463490602
681,48.64258813636958
682,69.73468213250285
683,48.44949072919388
684,71.00062581307161
685,48.192820680706184
686,48.76339524649007
687,70.97943801486538
688,126.39686042911171
689,149.38518334692412
690,121.46197948276894
691,149.24879695613984
692,109.22566965008349
693,127.65456505216312
694,129.9629744774748
695,86.95039245085735
696,86.95039245085735
697,86.95039245085735
698,107.31773049159862
699,76.68825218597257
700,72.76319685132033
701,73.27753905375098
702,78.13800371472468
703,67.43651063059856
704,72.33890920065701
705,67.01963838231669
706,67.01963838231669
707,75.24579847826908
708,65.8069350156074
709,76.1195013823201
710,49.97406525157515
711,47.12475783774368
712,64.0271179598725
713,65.53814307294023
714,66.89621795365053
715,82.53215619444538
716,76.91971192010008
717,84.70956259094784
718,82.9753844665531
719,38.05370664902886
720,19.414759132492883
721,38.85192096690339
722,33.80390319142327
723,93.80233835386801
724,91.45887786623689
725,93.80233835386801
726,85.70405918433606
727,73.75096420853768
728,95.55121621562104
729,35.48226887442577
730,103.86848268102955
731,98.3299470595236
732,105.86746674366675
733,103.39522980374788
734,103.15228921513861
735,98.0516794277243
736,105.10930583499352
737,101.65627700729945
738,60.26644251897881
739,104.68224297819614
740,33.23056668958048
741,42.327549766538915
742,28.78362613208983
743,20.395484768593114
744,16.88607044715543
745,17.126775864985504
746,76.1195013823201
747,75.77653700376051
748,65.40543369105222
749,90.8727012154815
750,64.0271179598725
751,54.6153322841105
752,59.72137670370368
753,65.25550055643441
754,71.18627250956409
755,80.63724792380357
756,49.206019398289655
757,49.57468338389478
758,66.02560937987312
759,60.33871920804173
760,80.48377876966595
761,78.13800371472468
762,89.28248961457089
763,112.49471057258445
764,76.91971192010008
765,115.7786229785741
766,44.21934930844839
767,19.414759132492883
768,33.145057276188105
769,36.6099465479182
770,36.19275426488829
771,27.872518111966798
772,84.70956259094784
773,97.48747440156599
774,80.92790070094198
775,82.9753844665531
776,102.40770606479376
777,83.63817439219505
778,104.68224297819614
779,80.14040638490725
780,95.04091851095333
781,84.70956259094784
782,39.16740827249901
783,35.53954965594383
784,35.53954965594383
785,38.13723764046
786,42.18739567818737
787,127.46044532325548
788,129.66342281065963
789,127.46044532325548
790,130.0904727132258
791,70.1590463490602
792,48.44949072919388
793,48.76339524649007
794,71.00062581307161
795,70.97943801486538
796,86.95978877717648
797,89.01161547973665
798,93.829499511425
799,101.0081695909236
800,71.848411229437
801,33.73375042191058
802,39.6610076095445
803,37.56957504303698
804,35.48226887442577
805,39.810374732595214
806,109.91891519112322
807,107.00709761883138
808,109.99300036304045
809,55.35692139921839
810,67.43651063059856
811,50.040955497470684
812,114.17570202777833
813,122.4118564251037
814,122.4118564251037
815,122.77472163689583
816,101.65627700729945
817,106.50249510475021
818,119.9205242809256
819,145.238672376875
820,145.2864812277724
821,126.27219472318184
822,146.28483212705854
823,146.28483212705854
824,145.68355964536354
825,126.4569986925703
826,11.256731115713466
827,21.963122023479997
828,23.578949679559265
829,25.882583440405053
830,21.331168122114907
831,21.331168122114907
832,3.3192439202637636
833,27.776717935931536
834,21.331168122114907
835,40.832764371325084
836,49.53645341726143
837,52.682416582448255
838,16.88607044715543
839,51.46036375696112
840,17.126775864985504
841,44.56191820138161
842,86.95039245085735
843,95.04091851095333
844,95.24770970393443
845,50.81097153425046
846,95.57916927640747
847,73.27753905375098
848,72.69667999479175
849,141.1743310479536
850,131.17153213604692
851,136.7350532976973
852,138.1143665631364
853,30.30577535221612
854,31.901040344897066
855,31.901040344897066
856,23.65424916444996
857,29.14260400109516
858,28.78362613208983
859,31.38697050598945
860,29.7685363427645
861,24.132760224081586
862,41.787021902471785
863,18.668683938815892
864,22.288481180837675
865,18.810775482701473
866,103.86848268102955
867,103.39522980374788
868,75.95594424101573
869,72.33890920065701
870,72.33890920065701
871,75.24579847826908
872,76.6470204474975
873,76.91971192010008
874,66.68935416187139
875,8.728226331154465
876,31.38697050598945
877,27.872518111966798
878,76.1195013823201
879,75.77653700376051
880,63.8856894260414
881,64.0271179598725
882,65.53814307294023
883,64.8536608125786
884,103.51147951544549
885,122.03002437786272
886,122.65468229779621
887,112.49471057258445
888,123.55804723693807
889,115.54547313165486
890,116.40033954108381
891,71.18627250956409
892,80.63724792380357
893,58.0088984792715
894,81.5234666614338
895,71.80966047437968
896,49.57468338389478
897,80.4147141201348
898,80.48377876966595
899,88.69074009005831
900,86.95039245085735
901,82.53215619444538
902,82.9753844665531
903,96.83880247794619
904,82.3725683370234
905,105.7145935134644
906,84.70956259094784
907,84.70956259094784
908,104.68224297819614
909,104.68224297819614
910,48.0526925964534
911,85.66977587380946
912,73.79740885851588
913,47.71556135910812
914,47.37534656398681
915,65.97513675503589
916,48.673665095885355
917,39.22186652936831
918,41.72239390888556
919,35.53954965594383
920,36.05869306459485
921,38.13723764046
922,36.11581406992789
923,42.88832569966228
924,35.70050992028964
925,39.23900042434864
926,33.38603150988534
927,34.0389990977101
928,42.28004059983251
929,40.44209439664968
930,41.46229730013664
931,40.62643970784477
932,118.09434548572958
933,111.65476503442696
934,109.91891519112322
935,30.352220239143243
936,36.11405098812912
937,31.901040344897066
938,31.28297664261823
939,29.7685363427645
940,116.24453353200248
941,149.24879695613984
942,129.31266918043175
943,149.24879695613984
944,127.65456505216312
945,106.50249510475021
