ID_Empfänger;ID_Sendung;Beladedatum;Gewicht;Frachtkosten;Straße_Absender;PLZ_Absender;Stadt_Absender;Straße_Empfänger;PLZ_Empfänger;Stadt_Empfänger;Haus_Empfänger;Kalenderwoche
78;63;2020-01-07;141.459;50.35;Trinidadstraße 44;27356;Rotenburg (Wümme);BOLLMANN ;28816;STUHR;20 ;1
919;64;2020-01-07;1548.75;75.51;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;28844;WEYHE;10 ;1
633;65;2020-01-07;515.0;57.33;Trinidadstraße 44;27356;Rotenburg (Wümme);CARL ZEISS STRASSE ;28816;STUHR;42 ;1
1298;66;2020-01-07;167.858;50.35;Trinidadstraße 44;27356;Rotenburg (Wümme);GUTENBERGSTRASSE ;28816;STUHR;4D ;1
1212;67;2020-01-07;1139.03;67.86;Trinidadstraße 44;27356;Rotenburg (Wümme);DIEPHOLZER STRASSE ;28816;STUHR;93 ;1
1213;68;2020-01-07;538.642;57.33;Trinidadstraße 44;27356;Rotenburg (Wümme);ZEPPELINSTRASSE ;28844;WEYHE;30 ;1
1299;69;2020-01-07;225.5;51.86;Trinidadstraße 44;27356;Rotenburg (Wümme);CARL ZEISS STRASSE ;28816;STUHR;21 ;1
1069;70;2020-01-07;101.0;57.15;Trinidadstraße 44;27356;Rotenburg (Wümme);LUBINGSTRASSE ;49406;BARNSTORF;6 ;1
902;71;2020-01-07;1189.0;77.03;Trinidadstraße 44;27356;Rotenburg (Wümme);HAUPTSTRASSE ;31621;PENNIGSEHL;28 ;1
1164;72;2020-01-07;357.7;60.65;Trinidadstraße 44;27356;Rotenburg (Wümme);BERLINER STRASSE ;27232;SULINGEN;87 ;1
1321;73;2020-01-07;1601.1;76.12;Trinidadstraße 44;27356;Rotenburg (Wümme);AUF DEM HILGENLAND ;28857;SYKE;4 ;1
1004;74;2020-01-07;52.0;46.96;Trinidadstraße 44;27356;Rotenburg (Wümme);SIEMENSSTRASSE ;49453;REHDEN;10 ;1
1210;75;2020-01-07;6587.0;104.68;Trinidadstraße 44;27356;Rotenburg (Wümme);STEUBEN ALLEE ;28832;ACHIM;19 ;1
1322;76;2020-01-07;12576.89;138.74;Trinidadstraße 44;27356;Rotenburg (Wümme);BENDINGBOSTELER DORFSTRASSE ;27308;KIRCHLINTELN;15 ;1
1326;77;2020-01-07;2706.26;78.05;Trinidadstraße 44;27356;Rotenburg (Wümme);MOORSTRASSE ;27299;LANGWEDEL;21 ;1
1007;78;2020-01-07;58.0;48.85;Trinidadstraße 44;27356;Rotenburg (Wümme);UHLHORNSTRASSE ;26835;FIRREL;9 ;1
1352;79;2020-01-07;1068.36;91.08;Trinidadstraße 44;27356;Rotenburg (Wümme);SÄGEMÜHLENSTRASSE ;26789;LEER;49 ;1
898;80;2020-01-07;1179.22;89.68;Trinidadstraße 44;27356;Rotenburg (Wümme);STOCKWEG ;26683;SATERLAND;19 ;1
1307;81;2020-01-07;82.025;57.17;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;26683;SATERLAND;5 ;1
1203;82;2020-01-07;32.482;44.76;Trinidadstraße 44;27356;Rotenburg (Wümme);MÜHLENWEG ;26789;LEER (OSTFRIESLAND);2D ;1
385;83;2020-01-07;1319.5361109064645;73.3088184981154;Trinidadstraße 44;27356;Rotenburg (Wümme);TEUTONENSTRASSE ;26789;LEER (OSTFRIESLAND);2;1
763;84;2020-01-07;144.759;66.53;Trinidadstraße 44;27356;Rotenburg (Wümme);KRÄHENWEG ;26683;SATERLAND;29 ;1
1170;85;2020-01-07;1072.47;57.37;Trinidadstraße 44;27356;Rotenburg (Wümme);MAX PLANCK STRASSE ;27283;VERDEN;36;1
1046;86;2020-01-07;11.0;16.98;Trinidadstraße 44;27356;Rotenburg (Wümme);HESPENWEG ;27313;DÖRVERDEN;20 ;1
1191;87;2020-01-07;18.0;16.98;Trinidadstraße 44;27356;Rotenburg (Wümme);FREESENSTRASSE ;27327;MARTFELD;11 ;1
904;88;2020-01-07;257.9;51.86;Trinidadstraße 44;27356;Rotenburg (Wümme);HINGSTER STRASSE ;27318;HOYA;5 ;1
1323;89;2020-01-07;70.0;36.96;Trinidadstraße 44;27356;Rotenburg (Wümme);HINGSTER STRASSE ;27318;HOYA;1 ;1
1324;90;2020-01-07;7.0;15.16;Trinidadstraße 44;27356;Rotenburg (Wümme);KAROLINE HERSCHEL STRASSE ;27283;VERDEN;2 ;1
1325;91;2020-01-07;44.5;73.3088184981154;Trinidadstraße 44;27356;Rotenburg (Wümme);WESERSTRASSE ;27283;VERDEN;32 ;1
957;92;2020-01-07;10488.0;138.74;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;28876;OYTEN;43;1
1063;93;2020-01-07;10890.83;138.74;Trinidadstraße 44;27356;Rotenburg (Wümme);LÜBKEMANNSTRASSE ;28876;OYTEN;5 ;1
1042;94;2020-01-07;860.576;72.31;Trinidadstraße 44;27356;Rotenburg (Wümme);ELLY BEINHORN STRASSE ;27777;GANDERKESEE;6 ;1
1043;95;2020-01-07;84.2;49.1;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;27804;BERNE;4 ;1
726;96;2020-01-07;171.0;50.35;Trinidadstraße 44;27356;Rotenburg (Wümme);SULINGER STRASSE ;27751;DELMENHORST;67 ;1
1124;97;2020-01-07;234.45;51.86;Trinidadstraße 44;27356;Rotenburg (Wümme);DONNERESCH ;27751;DELMENHORST;19 ;1
1313;98;2020-01-07;232.397;51.86;Trinidadstraße 44;27356;Rotenburg (Wümme);FLUGHAFENSTRASSE ;27809;LEMWERDER;4A ;1
1175;99;2020-01-07;113.473;50.35;Trinidadstraße 44;27356;Rotenburg (Wümme);HANSERING ;27809;LEMWERDER;20 ;1
1104;100;2020-01-07;40.781;33.86;Trinidadstraße 44;27356;Rotenburg (Wümme);BERNER STRASSE ;27751;DELMENHORST;9 ;1
859;101;2020-01-07;431.212;55.34;Trinidadstraße 44;27356;Rotenburg (Wümme);STELLER STRASSE ;27755;DELMENHORST;65 ;1
1167;102;2020-01-07;292.458;58.88;Trinidadstraße 44;27356;Rotenburg (Wümme);HEINRICH DREYER STRASSE ;27798;HUDE;;1
826;103;2020-01-07;379.0;67.88;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;26188;EDEWECHT;41C ;1
1073;104;2020-01-07;1994.75;93.76;Trinidadstraße 44;27356;Rotenburg (Wümme);RENNPLATZSTRASSE ;26125;OLDENBURG;203 ;1
502;105;2020-01-07;15.0;73.3088184981154;Trinidadstraße 44;27356;Rotenburg (Wümme);GEWERBEPARK ;27798;HUDE;13 ;1
1015;106;2020-01-07;319.5;70.62;Trinidadstraße 44;27356;Rotenburg (Wümme);ZUR FLEISCHMEHLFABRIK ;26169;FRIESOYTHE;1 ;1
994;107;2020-01-07;183.793;69.11;Trinidadstraße 44;27356;Rotenburg (Wümme);FLACHSMEERSTRASSE ;26871;PAPENBURG;36A ;1
1264;108;2020-01-07;2676.62;123.91;Trinidadstraße 44;27356;Rotenburg (Wümme);DIESELSTRASSE ;26871;PAPENBURG;1 ;1
1162;109;2020-01-07;16.286;24.61;Trinidadstraße 44;27356;Rotenburg (Wümme);FRIESENSTRASSE ;26871;PAPENBURG;2 ;1
1265;110;2020-01-07;259.415;71.21;Trinidadstraße 44;27356;Rotenburg (Wümme);FLACHSMEERSTRASSE ;26871;PAPENBURG;55;1
971;111;2020-01-07;5041.11;157.88;Trinidadstraße 44;27356;Rotenburg (Wümme);INDUSTRIESTRASSE ;26810;WESTOVERLEDINGEN;10 ;1
1397;112;2020-01-07;5031.01;130.53;Trinidadstraße 44;27356;Rotenburg (Wümme);AUGUST WILHELM KÜHNHOLZ STRASSE ;26135;OLDENBURG;39 ;1
