;ID_Empfänger;avg_Gewicht;avg_Frequenz;std_Gewicht;std_Frequenz;variability_Gewicht;variability_Frequenz;Frachtkosten;Sendungen;Gewicht;Frequenz;Nachfrage
26;1337;28064.1065315864;4.176470588235294;11359.152794504636;0.841567165541555;0.4047573287864985;0.2015019973831892;35127.47;213;1431269.4331109065;4;6720
27;1389;2646.8100021746363;2.4705882352941178;2244.516212866231;1.3468918468306292;0.8480080591436944;0.5451705094314452;10944.59;126;134987.31011090646;2;1071
28;1329;3500.2588257040484;3.0392156862745097;2480.584877972073;1.3410560661467588;0.708686129081647;0.4412507056353851;13477.00527399246;155;178513.20011090647;3;1152
29;1269;11345.837901960782;3.803921568627451;6624.820104781793;1.058671012980657;0.5838987091148988;0.2783104209382139;23115.22;194;578637.733;4;2983
33;1281;22770.55784313725;4.666666666666667;13167.264596507805;1.570562531918633;0.5782583231915086;0.3365491139825641;27694.59;238;1161298.45;5;4879
34;1282;2550.395141604175;1.9803921568627447;2549.3136249433983;0.8121624487362458;0.99957594153034;0.4101018305499854;8255.78;101;130070.15222181292;2;1288
35;1067;4052.3292352941176;1.3529411764705883;4784.543446073573;0.9761870601839528;1.1806897140543695;0.7215295662229216;7559.280000000001;69;206668.791;1;2995
36;1026;2709.412470588236;1.6470588235294117;3101.311918166242;1.016337137209198;1.144643701109459;0.6170618333055845;7767.53;84;138180.036;2;1645
37;1252;886.3246710159398;1.7450980392156863;791.7755665495298;0.716746461586019;0.8933245259234022;0.410719882481876;6056.16;89;45202.55822181293;2;508
38;1284;39234.2896688413;5.019607843137255;17520.107656455766;1.4211290733558493;0.446550907492782;0.2831155575826106;42258.09881849812;256;2000948.7731109064;5;7816
39;1285;784.9033965061358;2.0980392156862746;883.6147354725609;1.153341267115407;1.125762405164536;0.5497234076905211;7302.925273992462;107;40030.07322181293;2;374
40;991;502.0323921568627;1.03921568627451;639.398349037283;0.8476033108412327;1.2736197086611485;0.8156182802434503;3877.43;53;25603.652;1;483
41;1226;3624.481960784313;2.7254901960784315;3910.8185753688895;1.0407388024389024;1.0790007007022366;0.3818538052113958;12286.802910988692;139;184848.58;3;1330
42;1080;1749.9098823529412;2.07843137254902;2055.8796617197963;1.0167229171195458;1.1748488779064703;0.4891780072933663;8466.456455494346;106;89245.404;2;842
44;914;342.495705882353;1.03921568627451;468.2152584287827;0.9372466978064096;1.367068989149938;0.9018788978891866;3528.647636996231;53;17467.281;1;330
45;1273;11004.457376898292;3.3529411764705883;6835.324656387799;0.9343132111185136;0.6211414540745306;0.2786548173511356;13016.26763699623;171;561227.326221813;3;3282
47;1208;1286.655549019608;1.588235294117647;1354.0170874639405;0.898364527087647;1.0523539796611925;0.5656369244625926;4368.182910988692;81;65619.433;2;810
48;1334;42264.42850980392;5.019607843137255;20756.97205448029;1.3340194313192195;0.4911215598163211;0.2657616835831258;40163.79;256;2155485.854;5;8420
50;1106;15739.707882352945;3.92156862745098;10404.290084685772;1.2303355193588774;0.6610218031016231;0.3137355574365137;25475.06;200;802725.102;4;4014
51;1200;2446.247089304556;2.92156862745098;1871.854111341904;1.0925774527218095;0.7651942109715719;0.373969463683304;11811.625821977384;149;124758.60155453232;3;837
54;1052;1663.457806096205;1.607843137254902;2283.928942706508;1.3576219116167656;1.3730008265532274;0.8443746035665249;6692.637636996231;82;84836.34811090646;2;1035
58;1147;1921.5281764705885;1.4509803921568627;2383.0751508069293;0.7566696898963531;1.240197869585289;0.5214885700637029;5960.61;74;97997.937;1;1324
59;1223;4994.390786488362;2.803921568627451;4138.37936667145;1.1492538073574046;0.828605438298354;0.4098737354911023;13355.45;143;254713.93011090645;3;1781
61;919;1166.9626862745097;1.607843137254902;2179.8754706825566;1.1845409469081094;1.8679907218299647;0.736726686491629;4598.12;82;59515.097;2;726
63;1298;901.0117690551556;1.862745098039216;1178.9747432402037;0.8489901729263362;1.308500936093802;0.4557736717815068;4652.48;95;45951.60022181293;2;484
64;1212;674.1210588235296;1.6666666666666667;976.35636897013;1.2596295751794122;1.4483398140299295;0.7557777451076473;4288.63;85;34380.174;2;404
65;1213;293.05245532966524;1.156862745098039;493.55105863463575;0.9246090853892328;1.6841730879866623;0.7992383619466249;2451.3;59;14945.67522181293;1;253
66;1299;1014.974420463252;2.392156862745098;948.9297566071303;1.0597817015319526;0.9349297257895646;0.44302349818139;5765.74;122;51763.69544362586;2;424
68;902;1717.1982941176473;1.862745098039216;1479.1253045999356;1.0773970084075275;0.8613596400990828;0.5783920781977254;6731.81;95;87577.113;2;922
70;1004;6529.180333333333;1.6274509803921569;7031.9544449260775;1.248371488199334;1.0770041698842256;0.7670716373273015;9542.27;83;332988.197;2;4012
72;1322;2546.1001198216954;2.019607843137255;3605.1443875790446;1.224584763557531;1.4159476131800797;0.6063477955479037;5702.537636996231;103;129851.10611090646;2;1261
73;1326;2804.1489019607848;2.117647058823529;2359.912522159449;1.0128585058838064;0.8415788906606543;0.4782942944451308;6482.086455494346;108;143011.594;2;1324
77;1307;7300.557806096204;4.0588235294117645;3866.873560637336;0.967714104596649;0.5296682340366334;0.2384223156252613;20148.62645549435;207;372328.44811090647;4;1799
81;1170;1797.945557718154;1.7647058823529411;1995.642620637051;0.885171967340079;1.1099572020244053;0.5015974481593781;4848.824092490577;90;91695.22344362586;2;1019
82;1046;360.0693355079699;1.0980392156862746;592.0952923165908;0.8307804032542971;1.6443924375878576;0.7566035815351634;2538.89;56;18363.536110906465;1;328
83;1191;2566.1011808198614;2.2549019607843137;2133.111078192313;0.8448227566750782;0.8312653819483417;0.3746605268732955;7271.88;115;130871.16022181293;2;1138
84;904;594.5961481280848;1.4705882352941178;946.1371358623752;0.9869739849959692;1.5912264800924394;0.671142309797259;3412.7;75;30324.403554532324;1;404
87;1325;2083.97065575737;1.9803921568627447;1681.9293049868468;1.0486218780557914;0.8070791689605578;0.5295021364440134;5450.865273992462;101;106282.50344362586;2;1052
89;1042;1979.728745098039;2.07843137254902;1796.1277526539009;1.1285944755296646;0.9072595208314532;0.5430030023774801;7628.2788184981155;106;100966.166;2;953
90;1043;226.5193180747633;1.1372549019607845;302.4429705609132;0.8489901729263362;1.3351751768080595;0.7465258417110887;3062.216455494346;58;11552.485221812927;1;199
94;1175;319.8266688413032;1.0196078431372548;465.3982021189124;1.067524165130352;1.455157582089695;1.0469948542624608;2409.04;52;16311.160110906463;1;314
96;859;318.9341067377619;1.1372549019607845;437.4430713034255;0.8250965481236061;1.371578210238598;0.7255159302466192;2644.34;58;16265.639443625858;1;280
99;1073;577.3631198216954;1.03921568627451;833.1101176576193;0.9583482522282908;1.4429569348227598;0.9221841672385438;3295.1088184981154;53;29445.519110906465;1;556
101;1015;616.869527201014;1.4705882352941178;592.8332288229658;0.9664976187548646;0.9610350368786889;0.6572183807533079;4974.001729486808;75;31460.345887251715;1;419
