;Recipient_ID;avg_Weight;AVG_Frequency;std_Weight;STD_Frequency;Variability_Weight;Variability_Frequency;Freight_Cost;Shipments;Weight
77;1307;7300.557806096204;4.0588235294117645;3866.8735606373357;0.967714104596649;0.5296682340366334;0.23842231562526137;20067.44;207;372328.44811090647
83;1191;2566.1011808198614;2.2549019607843137;2133.1110781923126;0.8448227566750782;0.8312653819483417;0.37466052687329554;7379.45;115;130871.16022181293
89;1042;1979.728745098039;2.0784313725490198;1796.1277526539009;1.1285944755296646;0.9072595208314531;0.5430030023774801;7573.07;106;100966.166
103;1264;2950.029300641557;3.019607843137255;2579.1278231914584;1.1745670875421528;0.8742719343941985;0.38898000951071293;12722.32;154;150451.4943327194
107;1397;9753.51374509804;4.372549019607843;6738.40100106289;1.0947289036784493;0.690869073153201;0.2503640093614391;19745.03;223;497429.201
110;1274;3043.529912833967;3.0588235294117645;2107.187670918996;1.0278475510674205;0.6923499131825188;0.33602708400281056;12413.53;156;155220.02555453233
115;1331;5037.5632352941175;2.0588235294117645;5117.2445089303155;1.332843047112185;1.0158174240033229;0.6473809085973471;10378.39;105;256915.725
119;1116;680.8161916930441;3.3333333333333335;577.4172050531482;1.669331203406522;0.8481249595683605;0.5007993610219565;7076.81;170;34721.62577634525
121;1310;4285.334823529412;2.2745098039215685;4397.349227344682;1.1502770339800585;1.0261390086021365;0.5057252476981292;8300.88;116;218552.076
138;1255;4460.073235294118;2.5294117647058822;3707.7385820877967;1.1722276430194025;0.831317870017731;0.46343883561232196;12067.81;129;227463.735
141;1137;1369.6159673082234;2.8823529411764706;748.266198790266;1.0516094108276022;0.5463328528951601;0.36484408130753543;10983.65;147;69850.41433271939
145;1308;3851.1885337610374;4.0;4526.800823223726;1.4422205101855958;1.175429554679031;0.36055512754639896;15926.9;204;196410.61522181294
147;1266;1665.3133725490195;2.176470588235294;2159.5896353538;1.3222084911683356;1.2968067577865026;0.607501198644911;8647.3;111;84930.982
149;1304;3646.658254901961;2.176470588235294;3542.5599508229457;1.1261595331557812;0.9714537812971417;0.5174246503688725;7845.25;111;185979.571
150;1235;3947.4732810337136;2.3529411764705883;3641.1788048474536;1.1103788436702982;0.9224074605753756;0.4719110085598767;8962.43;120;201321.1373327194
151;1288;4911.26029846692;2.6666666666666665;4953.677320095558;1.0893423092245462;1.0086366877442594;0.40850336595920483;9657.26;136;250474.27522181292
152;1293;6366.962143778813;3.5294117647058822;4160.771512637191;1.1550401062555462;0.6534939926889152;0.3272613634390714;13116.33;180;324715.0693327194
153;1317;6861.549509803922;2.450980392156863;5564.672967484114;0.9233358108553156;0.8109936333670983;0.37672101082896875;10368.27;125;349939.025
163;1328;3924.9073137254904;2.235294117647059;3397.917937783781;0.9713544212926124;0.865732020193492;0.4345532937361687;10902.62;114;200170.273
169;1292;2727.1688039215687;2.6862745098039214;1969.8954040704398;0.8600045599514313;0.7223225057568136;0.32014768290162776;9860.56;137;139085.609
172;1250;2510.328235294118;2.6470588235294117;1917.8827023556846;1.0737509843863187;0.7639967855163687;0.40563926076816487;10374.91;135;128026.74
183;1263;9282.683666666668;2.1176470588235294;5818.942320399754;0.6825557507934252;0.626859917816125;0.3223179934302286;13660.08;108;473416.86699999997
194;1316;3277.70696295895;2.0784313725490198;2672.633000202157;1.1285944755296646;0.8153971756491121;0.5430030023774801;7430.75;106;167163.05511090645
209;1236;681.3524204632521;2.215686274509804;769.6064287674944;0.9447481249559817;1.1295276947049493;0.42639074666154925;6045.76;113;34748.97344362586
216;1233;666.6191786452248;2.1176470588235294;652.6298414602371;1.1071957157346557;0.9790144993826636;0.5228424213191429;4952.21;108;33997.57811090646
234;1318;1385.9214705882355;2.1372549019607843;1195.5723733533216;0.8948655282920949;0.8626552071856404;0.4186985499348334;6970.14;109;70681.995
267;1110;4680.2913943315;2.0784313725490198;5467.417172833233;1.1285944755296644;1.1681787974686908;0.54300300237748;9016.54;106;238694.86111090647
300;1287;6496.001549019609;3.411764705882353;6147.087941965721;1.6146389142868482;0.9462879427566413;0.4732562334978693;15546.39;174;331296.07899999997
324;1019;4128.38965575737;2.6666666666666665;3863.494985949524;1.6812693617224654;0.9358358362713101;0.6304760106459246;9480.9;136;210547.87244362585
703;1149;5894.223862745098;2.2549019607843137;5452.634531801808;1.2937254307603596;0.9250810045179333;0.5737391040763334;12402.93;115;300605.417
