;ID_Empfänger;ID_Empfänger.1;avg_Gewicht;avg_Frequenz;std_Gewicht;std_Frequenz;variability_Gewicht;variability_Frequenz;Frachtkosten;Sendungen;Gewicht
77;77;1307;7300.557806096204;4.0588235294117645;3866.873560637336;0.967714104596649;0.5296682340366334;0.2384223156252613;20148.62645549435;207;372328.44811090647
83;83;1191;2566.1011808198614;2.2549019607843137;2133.111078192313;0.8448227566750782;0.8312653819483417;0.3746605268732955;7271.88;115;130871.16022181293
87;87;1325;2083.97065575737;1.9803921568627447;1681.9293049868468;1.0486218780557914;0.8070791689605578;0.5295021364440134;5450.865273992462;101;106282.50344362586
89;89;1042;1979.728745098039;2.07843137254902;1796.1277526539009;1.1285944755296646;0.9072595208314532;0.5430030023774801;7628.2788184981155;106;100966.166
101;101;1015;616.869527201014;1.4705882352941178;592.8332288229658;0.9664976187548646;0.9610350368786889;0.6572183807533079;4974.001729486808;75;31460.345887251715
103;103;1264;2950.029300641557;3.019607843137255;2579.1278231914584;1.1745670875421528;0.8742719343941985;0.3889800095107129;12500.26;154;150451.4943327194
107;107;1397;9753.51374509804;4.372549019607843;6738.40100106289;1.094728903678449;0.690869073153201;0.2503640093614391;19747.28;223;497429.201
110;110;1274;3043.529912833967;3.0588235294117645;2107.187670918996;1.0278475510674203;0.6923499131825188;0.3360270840028105;12101.55;156;155220.02555453233
111;111;1186;3154.631176470588;1.5294117647058822;2556.4588392689734;0.757705514734335;0.810382797943799;0.4954228365570652;7480.92;78;160886.19
116;116;1101;2386.309725490196;1.6274509803921569;2334.5281248793817;1.1306773954355944;0.9783005533365216;0.6947535803278954;7791.63;83;121701.796
119;119;1116;680.8161916930441;3.333333333333333;577.4172050531482;1.669331203406522;0.8481249595683605;0.5007993610219565;6754.47;170;34721.62577634525
130;130;1018;3497.395607843137;1.3137254901960784;2788.5347395470194;0.9897514047159798;0.7973175048580575;0.7533928603061936;5619.43;67;178367.176
138;138;1255;4460.073235294118;2.5294117647058822;3707.7385820877967;1.1722276430194023;0.831317870017731;0.4634388356123219;12078.08;129;227463.735
139;139;1145;1408.895137254902;1.9411764705882355;1303.1805237092522;1.0660537454721943;0.924966301075022;0.5491792022129486;6723.206455494346;99;71853.652
141;141;1137;1369.6159673082234;2.8823529411764706;748.266198790266;1.0516094108276022;0.5463328528951601;0.3648440813075354;10761.59;147;69850.41433271939
149;149;1304;3646.658254901961;2.176470588235294;3542.5599508229457;1.1261595331557812;0.9714537812971415;0.5174246503688725;7853.08;111;185979.571
150;150;1235;3947.4732810337136;2.3529411764705883;3641.1788048474536;1.1103788436702982;0.9224074605753756;0.4719110085598767;7742.83;120;201321.1373327194
152;152;1293;6366.962143778813;3.5294117647058822;4160.771512637191;1.1550401062555462;0.6534939926889152;0.3272613634390714;12987.06;180;324715.0693327194
153;153;1317;6861.549509803922;2.450980392156863;5564.672967484114;0.9233358108553156;0.8109936333670983;0.3767210108289687;10368.27;125;349939.025
163;163;1328;3924.9073137254895;2.235294117647059;3397.917937783781;0.9713544212926124;0.865732020193492;0.4345532937361687;11108.25527399246;114;200170.273
169;169;1292;2727.1688039215687;2.6862745098039214;1969.89540407044;0.8600045599514313;0.7223225057568136;0.3201476829016277;9915.768818498116;137;139085.609
172;172;1250;2510.328235294118;2.647058823529412;1917.8827023556848;1.0737509843863189;0.7639967855163687;0.4056392607681648;10374.91;135;128026.74
