Beladedatum;Wochentag;Kalenderwoche;ID_Empfänger;Gewicht;Frachtkosten;ID_Sendung;Monat
8.8.2022;0;32;[1063, 1123, 1115, 1372, 1204];9809,51;519,6696119999998;[3921, 3967, 3922, 3885, 3927, 3968, 4028, 3971];8,0
2022-08-09 00:00:00;1;32;1041;179,0;29,60049;4139;8,0
9.8.2022;1;32;[1126, 1076, 1084, 1041];11846,689999999999;277,930807;[4141, 3955, 3982, 4030, 4033, 4077, 4061];8,0
9.8.2022;1;32;[1062, 1313, 1179, 1067, 1068];13811,08;551,53021;[4027, 4116, 4019, 3963, 3933, 3934];8,0
10.8.2022;2;32;[1115];1661,4299999999998;237,35263475;[4023, 4115];8,0
10.8.2022;2;32;[1035, 1176, 1031, 1034, 1089, 1091];12394,92;340,01850575;[4067, 3996, 4108, 4113, 4111, 3997, 4065, 3998];8,0
10.8.2022;2;32;[1186, 1236, 1045, 1102];15360,22;416,91328525;[4121, 4000, 4129, 4068, 4005, 4162];8,0
11.8.2022;3;32;[1068];6492,96;158,79640700000002;[4047];8,0
11.8.2022;3;32;[1082, 1084, 1123];9332,939999999999;276,7043125;[4191, 4084, 4098];8,0
11.8.2022;3;32;[1063, 1056, 1179];12122,550000000001;485,41198475;[4043, 4213, 4092];8,0
12.8.2022;4;32;[];0,0;47,373788;[];8,0
12.8.2022;4;32;[1045, 1187];6835,139999999999;190,62726375000003;[4159, 4160, 4122];8,0
15.8.2022;0;33;[1133];2938,53;148,54006475;[4235];8,0
15.8.2022;0;33;[1177, 1236];3323,3;143,519992;[4273, 4173, 4167];8,0
15.8.2022;0;33;[1031, 1034, 1176];1532,96;397,6676935;[4177, 4179, 4176];8,0
15.8.2022;0;33;[1123, 1204];6855,5;519,6696119999998;[4223, 4148];8,0
16.8.2022;1;33;[1084, 1213];5059,77;277,930807;[4194, 4221];8,0
16.8.2022;1;33;[1053, 1062, 1067, 1313, 1068];15787,5;551,53021;[4170, 4172, 4151, 4268, 4152, 4356];8,0
17.8.2022;2;33;[1115];96,82;237,35263475;[4219];8,0
17.8.2022;2;33;[1091, 1088, 1031, 1176, 1035];16818,93;340,01850575;[4203, 4313, 4206, 4205, 4310, 4314, 4309, 4275, 4311, 4264, 4208];8,0
17.8.2022;2;33;[1186, 1350, 1236, 1045];12909,75;416,91328525;[4298, 4252, 4254, 4253, 4246];8,0
2022-08-18 00:00:00;3;33;1371;1016,0;59,154959999999996;4461;8,0
18.8.2022;3;33;[1371, 1068];11745,3;158,79640700000002;[4352, 4242];8,0
18.8.2022;3;33;[1082];5964,96;276,7043125;[4287];8,0
18.8.2022;3;33;[1056, 1061, 1062, 1179];14855,619999999999;485,41198475;[4424, 4289, 4266, 4339, 4267, 4341];8,0
19.8.2022;4;33;[];0,0;47,373788;[];8,0
19.8.2022;4;33;[1045, 1151, 1187];958,0;190,62726375000003;[4388, 4409, 4299, 4387];8,0
22.8.2022;0;34;[1016, 1133];7134,62;148,54006475;[4325, 4464];8,0
