MR_ID;Kalenderwoche;Wochentag;Monat;Fahrzeugtyp;Fahrzeugkapazität;Frachtgewicht;Auslastung;SequenzExt;SequenzInt
1-10252-0;20;1;<attribute 'month' of 'datetime.date' objects>;0;9000;4956,72;0,5507466666666667;[1063, 1179, 1056, 1061, 0];[11, 30, 8, 9, 0]
2-440-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;6929,71;0,5774758333333333;[1067, 1068, 0];[13, 14, 0]
2-659-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;11807,3;0,9839416666666666;[1102, 1236, 0];[22, 35, 0]
2-945-2;20;2;<attribute 'month' of 'datetime.date' objects>;2;24000;19782,77;0,8242820833333333;[1053, 1313, 1016, 0];[7, 37, 1, 0]
2-3759-0;20;2;<attribute 'month' of 'datetime.date' objects>;0;9000;6667,48;0,7408311111111111;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-4321-1;20;2;<attribute 'month' of 'datetime.date' objects>;1;12000;6230,38;0,5191983333333333;[1187, 1045, 1151, 0];[32, 6, 27, 0]
3-432-1;20;3;<attribute 'month' of 'datetime.date' objects>;1;12000;14856,0;1,238;[1065, 1204, 0];[12, 33, 0]
3-2045-2;20;3;<attribute 'month' of 'datetime.date' objects>;2;24000;4430,17;0,18459041666666667;[1034, 1089, 1035, 0];[3, 20, 4, 0]
3-5878-0;20;3;<attribute 'month' of 'datetime.date' objects>;0;9000;9579,49;1,0643877777777777;[1063, 1062, 1115, 0];[11, 10, 23, 0]
3-8271-2;20;3;<attribute 'month' of 'datetime.date' objects>;2;24000;8833,68;0,36807;[1084, 1082, 1123, 0];[18, 17, 24, 0]
4-1848-1;20;4;<attribute 'month' of 'datetime.date' objects>;1;12000;667,05;0,0555875;[1176, 1031, 1091, 0];[28, 2, 21, 0]
4-4362-1;20;4;<attribute 'month' of 'datetime.date' objects>;1;12000;12616,210000000001;1,0513508333333335;[1187, 1045, 1186, 0];[32, 6, 31, 0]
4-5430-0;20;4;<attribute 'month' of 'datetime.date' objects>;0;9000;4631,129999999999;0,5145699999999999;[1179, 1062, 1061, 0];[30, 10, 9, 0]
0-62-2;21;0;<attribute 'month' of 'datetime.date' objects>;2;24000;5928,67;0,24702791666666668;[1016, 1133, 0];[1, 26, 0]
0-3047-1;21;0;<attribute 'month' of 'datetime.date' objects>;1;12000;5194,01;0,4328341666666667;[1089, 1088, 1035, 0];[20, 19, 4, 0]
0-7057-1;21;0;<attribute 'month' of 'datetime.date' objects>;1;12000;13242,439999999999;1,1035366666666666;[1068, 1067, 1371, 0];[14, 13, 39, 0]
0-8029-0;21;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2794,48;0,31049777777777776;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-10069-0;21;0;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1350, 1236, 1177, 0];[38, 35, 29, 0]
1-23-0;21;1;<attribute 'month' of 'datetime.date' objects>;0;9000;709,38;0,07882;[1123, 0];[24, 0]
1-432-1;21;1;<attribute 'month' of 'datetime.date' objects>;1;12000;150,0;0,0125;[1065, 1204, 0];[12, 33, 0]
1-1848-1;21;1;<attribute 'month' of 'datetime.date' objects>;1;12000;2777,31;0,2314425;[1176, 1031, 1091, 0];[28, 2, 21, 0]
1-2364-0;21;1;<attribute 'month' of 'datetime.date' objects>;0;9000;1907,9299999999998;0,2119922222222222;[1070, 1255, 1034, 0];[15, 36, 3, 0]
1-6153-0;21;1;<attribute 'month' of 'datetime.date' objects>;0;9000;8482,1;0,9424555555555556;[1062, 1372, 1115, 0];[10, 40, 23, 0]
1-10252-0;21;1;<attribute 'month' of 'datetime.date' objects>;0;9000;4570,25;0,5078055555555555;[1063, 1179, 1056, 1061, 0];[11, 30, 8, 9, 0]
2-440-1;21;2;<attribute 'month' of 'datetime.date' objects>;1;12000;0,0;0,0;[1067, 1068, 0];[13, 14, 0]
2-659-1;21;2;<attribute 'month' of 'datetime.date' objects>;1;12000;2955,5;0,24629166666666666;[1102, 1236, 0];[22, 35, 0]
2-945-2;21;2;<attribute 'month' of 'datetime.date' objects>;2;24000;8739,970000000001;0,36416541666666674;[1053, 1313, 1016, 0];[7, 37, 1, 0]
2-3759-0;21;2;<attribute 'month' of 'datetime.date' objects>;0;9000;4441,5;0,4935;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-4321-1;21;2;<attribute 'month' of 'datetime.date' objects>;1;12000;1210,5;0,100875;[1187, 1045, 1151, 0];[32, 6, 27, 0]
3-432-1;21;3;<attribute 'month' of 'datetime.date' objects>;1;12000;0,0;0,0;[1065, 1204, 0];[12, 33, 0]
3-2045-2;21;3;<attribute 'month' of 'datetime.date' objects>;2;24000;1224,0;0,051;[1034, 1089, 1035, 0];[3, 20, 4, 0]
3-5878-0;21;3;<attribute 'month' of 'datetime.date' objects>;0;9000;2850,55;0,3167277777777778;[1063, 1062, 1115, 0];[11, 10, 23, 0]
3-8271-2;21;3;<attribute 'month' of 'datetime.date' objects>;2;24000;660,93;0,027538749999999997;[1084, 1082, 1123, 0];[18, 17, 24, 0]
4-1848-1;21;4;<attribute 'month' of 'datetime.date' objects>;1;12000;1780,9299999999998;0,14841083333333333;[1176, 1031, 1091, 0];[28, 2, 21, 0]
4-4362-1;21;4;<attribute 'month' of 'datetime.date' objects>;1;12000;1860,3;0,155025;[1187, 1045, 1186, 0];[32, 6, 31, 0]
4-5430-0;21;4;<attribute 'month' of 'datetime.date' objects>;0;9000;1114,5;0,12383333333333334;[1179, 1062, 1061, 0];[30, 10, 9, 0]
0-62-2;22;0;<attribute 'month' of 'datetime.date' objects>;2;24000;7967,0599999999995;0,3319608333333333;[1016, 1133, 0];[1, 26, 0]
0-3047-1;22;0;<attribute 'month' of 'datetime.date' objects>;1;12000;5145,4;0,4287833333333333;[1089, 1088, 1035, 0];[20, 19, 4, 0]
0-7057-1;22;0;<attribute 'month' of 'datetime.date' objects>;1;12000;5487,83;0,45731916666666667;[1068, 1067, 1371, 0];[14, 13, 39, 0]
0-8029-0;22;0;<attribute 'month' of 'datetime.date' objects>;0;9000;3235,6;0,3595111111111111;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-10069-0;22;0;<attribute 'month' of 'datetime.date' objects>;0;9000;12251,32;1,3612577777777777;[1350, 1236, 1177, 0];[38, 35, 29, 0]
1-23-0;22;1;<attribute 'month' of 'datetime.date' objects>;0;9000;0,0;0,0;[1123, 0];[24, 0]
1-432-1;22;1;<attribute 'month' of 'datetime.date' objects>;1;12000;1888,0;0,15733333333333333;[1065, 1204, 0];[12, 33, 0]
1-1848-1;22;1;<attribute 'month' of 'datetime.date' objects>;1;12000;7234,84;0,6029033333333333;[1176, 1031, 1091, 0];[28, 2, 21, 0]
1-2364-0;22;1;<attribute 'month' of 'datetime.date' objects>;0;9000;5956,280000000001;0,661808888888889;[1070, 1255, 1034, 0];[15, 36, 3, 0]
1-6153-0;22;1;<attribute 'month' of 'datetime.date' objects>;0;9000;5149,27;0,5721411111111112;[1062, 1372, 1115, 0];[10, 40, 23, 0]
1-10252-0;22;1;<attribute 'month' of 'datetime.date' objects>;0;9000;4685,55;0,5206166666666667;[1063, 1179, 1056, 1061, 0];[11, 30, 8, 9, 0]
2-440-1;22;2;<attribute 'month' of 'datetime.date' objects>;1;12000;2513,42;0,20945166666666667;[1067, 1068, 0];[13, 14, 0]
2-659-1;22;2;<attribute 'month' of 'datetime.date' objects>;1;12000;1055,87;0,08798916666666666;[1102, 1236, 0];[22, 35, 0]
2-945-2;22;2;<attribute 'month' of 'datetime.date' objects>;2;24000;22980,0;0,9575;[1053, 1313, 1016, 0];[7, 37, 1, 0]
2-3759-0;22;2;<attribute 'month' of 'datetime.date' objects>;0;9000;4562,78;0,5069755555555555;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-4321-1;22;2;<attribute 'month' of 'datetime.date' objects>;1;12000;9225,0;0,76875;[1187, 1045, 1151, 0];[32, 6, 27, 0]
3-432-1;22;3;<attribute 'month' of 'datetime.date' objects>;1;12000;6297,5;0,5247916666666667;[1065, 1204, 0];[12, 33, 0]
3-2045-2;22;3;<attribute 'month' of 'datetime.date' objects>;2;24000;6732,5;0,28052083333333333;[1034, 1089, 1035, 0];[3, 20, 4, 0]
3-5878-0;22;3;<attribute 'month' of 'datetime.date' objects>;0;9000;288,0;0,032;[1063, 1062, 1115, 0];[11, 10, 23, 0]
3-8271-2;22;3;<attribute 'month' of 'datetime.date' objects>;2;24000;1526,08;0,06358666666666667;[1084, 1082, 1123, 0];[18, 17, 24, 0]
4-1848-1;22;4;<attribute 'month' of 'datetime.date' objects>;1;12000;4436,240000000001;0,3696866666666667;[1176, 1031, 1091, 0];[28, 2, 21, 0]
4-4362-1;22;4;<attribute 'month' of 'datetime.date' objects>;1;12000;4086,0;0,3405;[1187, 1045, 1186, 0];[32, 6, 31, 0]
4-5430-0;22;4;<attribute 'month' of 'datetime.date' objects>;0;9000;807,95;0,08977222222222223;[1179, 1062, 1061, 0];[30, 10, 9, 0]
0-62-2;23;0;<attribute 'month' of 'datetime.date' objects>;2;24000;1457,88;0,06074500000000001;[1016, 1133, 0];[1, 26, 0]
0-3047-1;23;0;<attribute 'month' of 'datetime.date' objects>;1;12000;1511,2400000000002;0,1259366666666667;[1089, 1088, 1035, 0];[20, 19, 4, 0]
0-7057-1;23;0;<attribute 'month' of 'datetime.date' objects>;1;12000;5117,58;0,426465;[1068, 1067, 1371, 0];[14, 13, 39, 0]
0-8029-0;23;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2495,41;0,2772677777777778;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-10069-0;23;0;<attribute 'month' of 'datetime.date' objects>;0;9000;5921,0;0,6578888888888889;[1350, 1236, 1177, 0];[38, 35, 29, 0]
1-23-0;23;1;<attribute 'month' of 'datetime.date' objects>;0;9000;3935,07;0,43723;[1123, 0];[24, 0]
1-432-1;23;1;<attribute 'month' of 'datetime.date' objects>;1;12000;2384,0;0,19866666666666666;[1065, 1204, 0];[12, 33, 0]
1-1848-1;23;1;<attribute 'month' of 'datetime.date' objects>;1;12000;1530,3899999999999;0,1275325;[1176, 1031, 1091, 0];[28, 2, 21, 0]
1-2364-0;23;1;<attribute 'month' of 'datetime.date' objects>;0;9000;4763,530000000001;0,5292811111111112;[1070, 1255, 1034, 0];[15, 36, 3, 0]
1-6153-0;23;1;<attribute 'month' of 'datetime.date' objects>;0;9000;2166,6;0,24073333333333333;[1062, 1372, 1115, 0];[10, 40, 23, 0]
1-10252-0;23;1;<attribute 'month' of 'datetime.date' objects>;0;9000;4225,12;0,46945777777777775;[1063, 1179, 1056, 1061, 0];[11, 30, 8, 9, 0]
2-440-1;23;2;<attribute 'month' of 'datetime.date' objects>;1;12000;1388,74;0,11572833333333334;[1067, 1068, 0];[13, 14, 0]
2-659-1;23;2;<attribute 'month' of 'datetime.date' objects>;1;12000;7089,890000000001;0,5908241666666668;[1102, 1236, 0];[22, 35, 0]
2-945-2;23;2;<attribute 'month' of 'datetime.date' objects>;2;24000;24673,89;1,02807875;[1053, 1313, 1016, 0];[7, 37, 1, 0]
2-3759-0;23;2;<attribute 'month' of 'datetime.date' objects>;0;9000;2160,21;0,24002333333333334;[1126, 1041, 1213, 0];[25, 5, 34, 0]
2-4321-1;23;2;<attribute 'month' of 'datetime.date' objects>;1;12000;5131,05;0,4275875;[1187, 1045, 1151, 0];[32, 6, 27, 0]
3-432-1;23;3;<attribute 'month' of 'datetime.date' objects>;1;12000;4491,0;0,37425;[1065, 1204, 0];[12, 33, 0]
3-2045-2;23;3;<attribute 'month' of 'datetime.date' objects>;2;24000;5539,91;0,23082958333333334;[1034, 1089, 1035, 0];[3, 20, 4, 0]
3-5878-0;23;3;<attribute 'month' of 'datetime.date' objects>;0;9000;2355,18;0,2616866666666666;[1063, 1062, 1115, 0];[11, 10, 23, 0]
3-8271-2;23;3;<attribute 'month' of 'datetime.date' objects>;2;24000;36018,8;1,5007833333333334;[1084, 1082, 1123, 0];[18, 17, 24, 0]
4-1848-1;23;4;<attribute 'month' of 'datetime.date' objects>;1;12000;3104,2799999999997;0,25869;[1176, 1031, 1091, 0];[28, 2, 21, 0]
4-4362-1;23;4;<attribute 'month' of 'datetime.date' objects>;1;12000;12777,9;1,064825;[1187, 1045, 1186, 0];[32, 6, 31, 0]
4-5430-0;23;4;<attribute 'month' of 'datetime.date' objects>;0;9000;4437,71;0,4930788888888889;[1179, 1062, 1061, 0];[30, 10, 9, 0]
0-62-2;24;0;<attribute 'month' of 'datetime.date' objects>;2;24000;1941,32;0,08088833333333333;[1016, 1133, 0];[1, 26, 0]
0-3047-1;24;0;<attribute 'month' of 'datetime.date' objects>;1;12000;8157,460000000001;0,6797883333333334;[1089, 1088, 1035, 0];[20, 19, 4, 0]
0-7057-1;24;0;<attribute 'month' of 'datetime.date' objects>;1;12000;10221,61;0,8518008333333333;[1068, 1067, 1371, 0];[14, 13, 39, 0]
0-8029-0;24;0;<attribute 'month' of 'datetime.date' objects>;0;9000;957,8000000000001;0,10642222222222222;[1084, 1076, 1213, 0];[18, 16, 34, 0]
0-10069-0;24;0;<attribute 'month' of 'datetime.date' objects>;0;9000;2200,0;0,24444444444444444;[1350, 1236, 1177, 0];[38, 35, 29, 0]
